## Generated from BK dipole with initial condition: MVe model, Qs0^2 = 5.964278e-02, e_c = 2.777157e+01, C^2 = 6.507842e+00, sigma0/2 = 1.494512e+01
## Fitted to file /home/caaucasu/sidis_fit/data/dipole/posterior/LOmvefit/27.dat
## Note definition of log S(k): log_S(k) = log10 S(k) = log10 [ \int r dr J0(k r) (1 - N(r)) ]
## log10 k grid ranges from -2 to 2 with 500 points
## y grid ranges from 0 to 8.0 with 100 points
y log10_k log10_S(k)
0.000000e+00 5.971944e-01 -4.865732e+00
0.000000e+00 6.052104e-01 -4.890557e+00
0.000000e+00 6.132265e-01 -4.915361e+00
0.000000e+00 6.212425e-01 -4.940148e+00
0.000000e+00 6.292585e-01 -4.964916e+00
0.000000e+00 6.372745e-01 -4.989668e+00
0.000000e+00 6.452906e-01 -5.014404e+00
0.000000e+00 6.533066e-01 -5.039125e+00
0.000000e+00 6.613226e-01 -5.063833e+00
0.000000e+00 6.693387e-01 -5.088528e+00
0.000000e+00 6.773547e-01 -5.113211e+00
0.000000e+00 6.853707e-01 -5.137882e+00
0.000000e+00 6.933868e-01 -5.162544e+00
0.000000e+00 7.014028e-01 -5.187196e+00
0.000000e+00 7.094188e-01 -5.211839e+00
0.000000e+00 7.174349e-01 -5.236474e+00
0.000000e+00 7.254509e-01 -5.261102e+00
0.000000e+00 7.334669e-01 -5.285723e+00
0.000000e+00 7.414830e-01 -5.310339e+00
0.000000e+00 7.494990e-01 -5.334949e+00
0.000000e+00 7.575150e-01 -5.359555e+00
0.000000e+00 7.655311e-01 -5.384157e+00
0.000000e+00 7.735471e-01 -5.408756e+00
0.000000e+00 7.815631e-01 -5.433352e+00
0.000000e+00 7.895792e-01 -5.457946e+00
0.000000e+00 7.975952e-01 -5.482538e+00
0.000000e+00 8.056112e-01 -5.507130e+00
0.000000e+00 8.136273e-01 -5.531721e+00
0.000000e+00 8.216433e-01 -5.556312e+00
0.000000e+00 8.296593e-01 -5.580904e+00
0.000000e+00 8.376754e-01 -5.605497e+00
0.000000e+00 8.456914e-01 -5.630092e+00
0.000000e+00 8.537074e-01 -5.654689e+00
0.000000e+00 8.617234e-01 -5.679289e+00
0.000000e+00 8.697395e-01 -5.703893e+00
0.000000e+00 8.777555e-01 -5.728500e+00
0.000000e+00 8.857715e-01 -5.753111e+00
0.000000e+00 8.937876e-01 -5.777727e+00
0.000000e+00 9.018036e-01 -5.802348e+00
0.000000e+00 9.098196e-01 -5.826975e+00
0.000000e+00 9.178357e-01 -5.851608e+00
0.000000e+00 9.258517e-01 -5.876248e+00
0.000000e+00 9.338677e-01 -5.900895e+00
0.000000e+00 9.418838e-01 -5.925549e+00
0.000000e+00 9.498998e-01 -5.950211e+00
0.000000e+00 9.579158e-01 -5.974882e+00
0.000000e+00 9.659319e-01 -5.999561e+00
0.000000e+00 9.739479e-01 -6.024250e+00
0.000000e+00 9.819639e-01 -6.048948e+00
0.000000e+00 9.899800e-01 -6.073657e+00
0.000000e+00 9.979960e-01 -6.098376e+00
0.000000e+00 1.006012e+00 -6.123107e+00
0.000000e+00 1.014028e+00 -6.147848e+00
0.000000e+00 1.022044e+00 -6.172602e+00
0.000000e+00 1.030060e+00 -6.197368e+00
0.000000e+00 1.038076e+00 -6.222147e+00
0.000000e+00 1.046092e+00 -6.246939e+00
0.000000e+00 1.054108e+00 -6.271745e+00
0.000000e+00 1.062124e+00 -6.296565e+00
0.000000e+00 1.070140e+00 -6.321399e+00
0.000000e+00 1.078156e+00 -6.346248e+00
0.000000e+00 1.086172e+00 -6.371113e+00
0.000000e+00 1.094188e+00 -6.395993e+00
0.000000e+00 1.102204e+00 -6.420890e+00
0.000000e+00 1.110220e+00 -6.445803e+00
0.000000e+00 1.118236e+00 -6.470734e+00
0.000000e+00 1.126253e+00 -6.495681e+00
0.000000e+00 1.134269e+00 -6.520647e+00
0.000000e+00 1.142285e+00 -6.545632e+00
0.000000e+00 1.150301e+00 -6.570635e+00
0.000000e+00 1.158317e+00 -6.595657e+00
0.000000e+00 1.166333e+00 -6.620699e+00
0.000000e+00 1.174349e+00 -6.645761e+00
0.000000e+00 1.182365e+00 -6.670844e+00
0.000000e+00 1.190381e+00 -6.695948e+00
0.000000e+00 1.198397e+00 -6.721073e+00
0.000000e+00 1.206413e+00 -6.746220e+00
0.000000e+00 1.214429e+00 -6.771389e+00
0.000000e+00 1.222445e+00 -6.796581e+00
0.000000e+00 1.230461e+00 -6.821797e+00
0.000000e+00 1.238477e+00 -6.847035e+00
0.000000e+00 1.246493e+00 -6.872298e+00
0.000000e+00 1.254509e+00 -6.897585e+00
0.000000e+00 1.262525e+00 -6.922898e+00
0.000000e+00 1.270541e+00 -6.948235e+00
0.000000e+00 1.278557e+00 -6.973599e+00
0.000000e+00 1.286573e+00 -6.998988e+00
0.000000e+00 1.294589e+00 -7.024404e+00
0.000000e+00 1.302605e+00 -7.049848e+00
0.000000e+00 1.310621e+00 -7.075318e+00
0.000000e+00 1.318637e+00 -7.100817e+00
0.000000e+00 1.326653e+00 -7.126344e+00
0.000000e+00 1.334669e+00 -7.151900e+00
0.000000e+00 1.342685e+00 -7.177485e+00
0.000000e+00 1.350701e+00 -7.203100e+00
0.000000e+00 1.358717e+00 -7.228745e+00
0.000000e+00 1.366733e+00 -7.254420e+00
0.000000e+00 1.374749e+00 -7.280126e+00
0.000000e+00 1.382766e+00 -7.305864e+00
0.000000e+00 1.390782e+00 -7.331633e+00
0.000000e+00 1.398798e+00 -7.357435e+00
